timestamp,campaign_type,device_type,user_gender,impressions,clicks,ad_spend
2024-01-01 00:00:00,Display,Tablet,Male,5236,461,1370.3416719814552
2024-01-01 01:00:00,Video,Tablet,Male,8885,39,4538.754137088385
2024-01-01 02:00:00,Social Media,Tablet,Male,1137,329,4520.6059737019805
2024-01-01 03:00:00,Display,Desktop,Male,7646,321,4619.143464603458
2024-01-01 04:00:00,Display,Tablet,Male,6003,59,2485.805662028127
2024-01-01 05:00:00,Video,Mobile,Male,122,122,4331.071971126471
2024-01-01 06:00:00,Social Media,Tablet,Female,9925,484,4754.321821874928
2024-01-01 07:00:00,Social Media,Mobile,Female,6387,10,1629.8385400669256
2024-01-01 08:00:00,Display,Tablet,Female,1505,119,2100.18328435595
2024-01-01 09:00:00,Search Engine,Tablet,Female,9770,384,3599.0085348053626
2024-01-01 10:00:00,Display,Mobile,Female,6567,409,1508.7955103992715
2024-01-01 11:00:00,Display,Tablet,Male,1294,41,3771.5084514741684
2024-01-01 12:00:00,Display,Tablet,Male,8867,189,378.7218046155343
2024-01-01 13:00:00,Display,Tablet,Male,8023,122,2622.2569375998255
2024-01-01 14:00:00,Video,Desktop,Male,1706,188,620.3442855778886
2024-01-01 15:00:00,Social Media,Mobile,Female,8743,251,1473.6841474190155
2024-01-01 16:00:00,Video,Tablet,Female,8416,460,1300.5407085074953
2024-01-01 17:00:00,Video,Mobile,Male,6350,91,4196.271047077704
2024-01-01 18:00:00,Video,Mobile,Male,1783,483,975.6511044769253
2024-01-01 19:00:00,Display,Mobile,Female,9198,212,4044.1551215940035
2024-01-01 20:00:00,Search Engine,Tablet,Female,8721,317,3971.8621260805307
2024-01-01 21:00:00,Social Media,Tablet,Female,2851,201,2499.426447230577
2024-01-01 22:00:00,Search Engine,Mobile,Male,7604,267,1176.8778454246867
2024-01-01 23:00:00,Video,Desktop,Male,7763,493,1142.2127363815514
2024-01-02 00:00:00,Video,Mobile,Female,8653,154,2329.9739891080803
2024-01-02 01:00:00,Search Engine,Desktop,Female,8723,194,53.95694689364639
2024-01-02 02:00:00,Search Engine,Mobile,Male,2822,27,2661.440265510717
2024-01-02 03:00:00,Search Engine,Mobile,Male,5739,193,4764.369833577606
2024-01-02 04:00:00,Video,Mobile,Male,3323,411,781.9873404943565
2024-01-02 05:00:00,Video,Tablet,Male,5541,498,2870.994651163261
2024-01-02 06:00:00,Social Media,Desktop,Female,9922,222,4809.27565633584
2024-01-02 07:00:00,Social Media,Desktop,Female,7481,106,4304.005476063085
2024-01-02 08:00:00,Video,Mobile,Female,5284,148,4253.396780742888
2024-01-02 09:00:00,Search Engine,Tablet,Male,369,134,4111.031152676983
